transaction_id,date,city,locality,latitude,longitude,property_type,area_sqft,bedrooms,bathrooms,property_age_years,floor_number,total_floors,parking_spaces,furnishing,metro_distance_km,school_distance_km,hospital_distance_km,crime_index,future_infrastructure_score,historical_price_growth_pct,price_inr,monthly_rent_inr
TXN00001,2019-08-29,Ahmedabad,Prahlad Nagar,23.01437003736901,72.50456283014846,Apartment,2292.0,4,4,22,2,15,0,Furnished,2.231441224903539,2.430113997945856,2.213821643470078,6.981736434558518,82.66675161257369,10.323217367321677,30637082.0,72650.0
TXN00002,2021-06-24,Ahmedabad,Gota,23.08837433993446,72.53795102908371,Apartment,693.0,2,1,16,2,16,2,Furnished,2.7082395108468167,3.11916942225178,2.6810760818987425,13.64385511332009,83.47639566957594,9.835077283673302,5950638.0,14443.0
TXN00003,2020-08-02,Ahmedabad,Prahlad Nagar,23.015215654252287,72.50827031627796,Villa,1606.0,3,3,3,9,14,0,Semi-Furnished,2.50837742051981,2.859812428270245,1.8894673685778751,13.492967938400316,79.31213158037407,9.331691551882946,20815149.0,45474.0
TXN00004,2022-12-24,Ahmedabad,Maninagar,22.9981733889408,72.600605099711,Apartment,2046.0,3,2,20,7,12,1,Unfurnished,3.3043025374238995,2.7099415850105215,3.1868418799984433,8.05278137030517,67.97651839063003,8.084649461018492,14136521.0,33879.0
TXN00005,2019-05-29,Ahmedabad,Shela,23.00354778461374,72.463473048424,Villa,1033.0,2,3,22,1,7,2,Semi-Furnished,3.0052680518199892,4.011909343700551,2.8632967537548097,8.651238146460287,84.14392076167857,10.473267512157538,7460544.0,15490.0
TXN00006,2023-11-15,Ahmedabad,Bopal,23.02637808377856,72.46348734978385,Row House,1589.0,3,4,13,12,13,1,Semi-Furnished,2.658384234673462,3.023644961624982,2.7379186723245783,5.0,75.06380232587358,7.598753785849987,11380033.0,29179.0
TXN00007,2019-09-04,Ahmedabad,Satellite,23.03093070484542,72.51808740858209,Apartment,2302.0,5,4,11,9,11,0,Furnished,2.759091042808209,1.6363397884038262,2.542793217121766,15.726413613993667,65.32365287366927,8.167605057594166,26704451.0,61169.0
TXN00008,2022-06-16,Ahmedabad,Prahlad Nagar,23.011611109211604,72.50211677482199,Apartment,2012.0,3,4,10,10,10,0,Semi-Furnished,2.33450502009554,3.319886739727428,1.6278406950607969,8.261490803501513,75.66114118106539,7.975451276172818,22278433.0,58154.0
TXN00009,2025-07-24,Ahmedabad,Thaltej,23.049365460651845,72.5108573849887,Apartment,2311.0,5,4,12,9,14,1,Semi-Furnished,1.6046817377734746,3.1894112867274735,2.093529452344837,10.707856438921887,75.15525468150169,8.26427416122225,23073488.0,51243.0
TXN00010,2019-10-03,Ahmedabad,Bopal,23.031539803864426,72.46437344840938,Apartment,2063.0,4,4,18,12,18,0,Furnished,2.1694780078150417,2.752735736530873,2.4151647455099012,22.12081839461099,88.03093522241807,8.412197317008298,15799293.0,41628.0
TXN00011,2025-12-10,Ahmedabad,Shela,23.006715025753845,72.47114302396798,Apartment,2657.0,5,4,1,4,10,2,Furnished,3.651767535972931,3.746662473453386,3.017603913868135,9.414956837615259,87.31629500818313,11.357802264218872,21115277.0,46573.0
TXN00012,2020-01-27,Ahmedabad,Prahlad Nagar,23.018129927445255,72.50836233962761,Apartment,2658.0,4,3,3,1,17,2,Unfurnished,2.8315629749872517,2.0347124530959033,1.7748587127443092,15.959960768134264,77.96926879967957,8.667013340282534,31945383.0,71149.0
TXN00013,2020-05-25,Ahmedabad,Shela,23.004381977283,72.46221622955332,Apartment,824.0,1,2,18,10,15,1,Furnished,3.353332614648441,3.003470307796885,3.0922388232202853,5.0,92.01654695182762,9.234024977329451,6061018.0,14611.0
TXN00014,2021-12-06,Ahmedabad,Chandkheda,23.107383414239727,72.57141084388104,Apartment,1799.0,3,4,2,9,10,2,Furnished,3.701722932219609,3.121765421494784,2.7974847898136472,5.0,81.89363002154204,8.532080881847468,14919949.0,30624.0
TXN00015,2023-07-24,Ahmedabad,Maninagar,22.996366222203765,72.60891479057763,Apartment,1914.0,3,2,9,12,15,0,Furnished,1.9714085869424753,4.207480698871292,2.058991412065687,11.56928652927216,84.43040301544244,10.907987586817708,14501801.0,34180.0
TXN00016,2020-01-28,Ahmedabad,Shela,23.00521262139031,72.46500033757236,Villa,873.0,2,2,4,2,8,1,Unfurnished,2.8339982857996358,3.5334729216621894,3.1930080217362047,5.0,92.07629490691897,10.27300007930868,5749536.0,12945.0
TXN00017,2021-11-29,Ahmedabad,Chandkheda,23.1081139007702,72.58105486881742,Apartment,647.0,1,1,6,8,14,2,Unfurnished,2.356557694750319,4.143958573318627,3.0725510831618044,13.880860420349663,85.56463088934909,7.03203821693355,4239976.0,9493.0
TXN00018,2024-12-31,Ahmedabad,Bopal,23.033455312054794,72.46368589910752,Apartment,2303.0,4,4,13,4,12,2,Semi-Furnished,2.5961200836733447,3.3235503283332823,2.9257747726213275,7.118512512072263,84.96797290228466,7.196261682777843,18910345.0,38394.0
TXN00019,2022-05-13,Ahmedabad,Bodakdev,23.034786785507542,72.50862940136967,Villa,2093.0,4,4,24,9,19,2,Semi-Furnished,2.4198112277405315,3.554894092352189,2.4922238520964224,14.867929060782355,82.39927489515523,9.034457760404878,27975900.0,65975.0
TXN00020,2019-08-04,Ahmedabad,Shela,23.000133759402473,72.46231543889041,Apartment,847.0,2,2,2,8,16,1,Furnished,2.9110475427840448,3.0806630703692592,2.8177831557399395,16.76737059966033,81.80641742852752,10.488793954167004,6197957.0,14071.0
TXN00021,2022-08-28,Ahmedabad,Bodakdev,23.042886335943376,72.50321622535391,Apartment,935.0,2,1,14,6,12,2,Furnished,2.408472850639934,3.4910316700938964,1.2411081343249015,6.353379448853369,72.51043360327634,10.18817821963136,15151110.0,30571.0
TXN00022,2021-07-19,Ahmedabad,Maninagar,22.995809224767324,72.60537754076195,Apartment,1301.0,2,3,19,8,11,2,Semi-Furnished,2.5629438077648596,3.334554075033891,3.2026148261578498,11.798783508129542,75.88873328595383,8.35748826058455,9288328.0,21226.0
TXN00023,2024-12-13,Ahmedabad,Bopal,23.0268234548399,72.46675854642407,Row House,2770.0,5,4,24,6,7,0,Semi-Furnished,1.8011176712727712,4.037421298405629,2.548928062299365,9.997282666058199,73.38644275364645,11.182415890318685,20822865.0,46024.0
TXN00024,2020-12-26,Ahmedabad,Maninagar,22.99828211390167,72.6004250353111,Apartment,2308.0,3,3,25,1,18,2,Furnished,2.9474580791679927,3.2119778588864842,3.0827692453906295,19.52526824469041,62.77196042278071,9.209084117281906,18456678.0,42398.0
TXN00025,2024-08-09,Ahmedabad,Shela,23.010414343558278,72.46536850663374,Villa,631.0,1,1,1,10,16,2,Unfurnished,1.8910492166564978,3.3275344465890786,3.4516400267869467,5.9906956017045525,92.53530498026475,9.917127106524408,4609114.0,9162.0
TXN00026,2023-12-19,Ahmedabad,Thaltej,23.047864399046507,72.51072099035484,Apartment,899.0,1,1,5,1,8,0,Furnished,1.9421208821828957,3.2519692896855155,1.9797280304212328,16.04818253077921,65.01456504491482,8.889587354105956,9453095.0,20532.0
TXN00027,2025-08-14,Ahmedabad,Chandkheda,23.118307922116216,72.58027752454053,Apartment,2314.0,4,4,14,6,8,0,Semi-Furnished,2.192556839562278,4.081998305060186,2.7754323845396076,17.687554667464262,79.21317481877993,9.798390247137212,16347840.0,42093.0
